GPA,No_of_Projects,Internship_Experience,Problem_Solving_Skill,Hackathon_Participation,Communication_Skills,Leadership,Skill_Python,Skill_Java,Skill_SQL,Skill_Design,Preferred_Tech_Track,Career_Path
8.3,6,3,Average,0,Excellent,Good,0,1,0,0,UI/UX,ML Engineer
7.92,3,1,Poor,2,Excellent,Good,0,0,1,0,AI,ML Engineer
8.39,0,1,Average,2,Average,Good,1,0,1,1,UI/UX,ML Engineer
8.91,2,2,Excellent,1,Good,Excellent,0,0,0,0,UI/UX,UI/UX Designer
7.86,4,0,Good,2,Good,Good,0,1,1,1,Web Dev,UI/UX Designer
7.86,2,1,Average,1,Good,Good,0,1,0,1,Web Dev,UI/UX Designer
8.95,2,3,Average,0,Average,Good,0,1,0,0,Web Dev,Cybersecurity Analyst
8.46,5,0,Good,0,Average,Good,0,0,0,0,UI/UX,Data Scientist
7.72,0,0,Poor,1,Average,Average,0,0,0,0,AI,UI/UX Designer
8.33,5,1,Average,0,Good,Average,0,0,1,0,Web Dev,ML Engineer
7.72,0,1,Excellent,3,Poor,Excellent,1,1,1,0,Data,Data Scientist
7.72,6,0,Average,3,Excellent,Good,0,0,1,0,AI,Cybersecurity Analyst
8.15,6,0,Poor,0,Average,Good,0,0,0,1,Data,UI/UX Designer
6.85,0,2,Good,1,Average,Excellent,1,1,1,1,AI,Data Scientist
6.97,1,3,Excellent,1,Good,Good,1,1,0,0,Web Dev,UI/UX Designer
7.66,3,2,Good,0,Good,Good,1,1,0,1,Cyber,UI/UX Designer
7.39,1,1,Average,2,Poor,Good,1,0,0,1,Web Dev,Software Engineer
8.19,3,2,Average,3,Average,Good,0,0,0,1,UI/UX,UI/UX Designer
7.46,5,2,Average,2,Excellent,Average,1,0,0,1,UI/UX,ML Engineer
7.15,3,2,Good,1,Average,Average,1,1,0,0,AI,UI/UX Designer
8.88,5,2,Good,1,Average,Average,0,1,1,1,UI/UX,Data Scientist
7.86,6,3,Poor,2,Good,Average,0,1,1,1,Web Dev,Data Scientist
